Employee_ID,Employee_Gender,Salary,Birth_Date,Employee_Hire_Date,Employee_Term_Date,Marital_Status,Dependents
120101,M,163040,6074,15887,,S,0
120102,M,108255,3510,10744,,O,2
120103,M,87975,-3996,5114,,M,1
120104,F,46230,-2061,7671,,M,1
120105,F,27110,5468,14365,,S,0
120106,M,26960,-5487,5114,,M,2
120107,F,30475,-3997,5145,,M,2
120108,F,27660,8819,17014,,S,0
120109,F,26495,9845,17075,,M,3
120110,M,28615,-3694,7244,,M,1
120111,M,26895,-3814,5418,,M,3
120112,F,26550,3335,11139,,M,3
120113,F,26870,-5714,5114,,S,0
120114,F,31285,-5806,5114,,M,3
120115,M,26500,8894,16649,,M,2
120116,M,29250,-202,7336,,S,0
120117,M,31670,1715,9587,,O,1
120118,M,28090,-212,8948,,M,3
120119,M,30255,3642,13880,,M,1
120120,F,27645,-5719,5114,,M,3
120121,F,26600,-5630,5114,,M,1
120122,F,27475,-1984,6756,,S,0
120123,F,26190,1732,9405,16467,M,3
120124,M,26480,-233,6999,,M,1
120125,M,32040,-1852,6999,16283,M,2
120126,M,26780,10490,17014,,O,2
120127,F,28100,6943,14184,,M,2
120128,F,30890,9691,17106,,S,0
120129,M,30070,1787,9405,15795,S,0
120130,M,26955,9114,16922,,M,2
120131,M,26910,7207,15706,,S,0
120132,F,28525,-3923,6848,,S,0
120133,F,27440,9608,17075,,S,0
120134,M,28015,-3861,5114,16982,M,2
120135,M,32490,3313,13788,16191,M,3
120136,M,26605,7198,15737,,M,1
120137,F,29715,7010,16861,,S,0
120138,F,25795,7131,16983,,S,0
120139,F,26810,9726,17045,,S,0
120140,M,26970,10442,17075,,M,2
120141,F,27465,10298,16922,,M,1
120142,M,29695,9661,16983,,S,0
120143,M,26790,-229,8309,,S,1
120144,M,30265,9562,17075,,S,0
120145,M,26060,1482,9283,,O,0
120146,M,25985,-91,7518,16709,M,1
120147,F,26580,10245,17075,,M,3
120148,M,28480,-3762,6726,,S,0
120149,F,26390,5438,12054,,O,1
120150,M,29965,-2002,8248,16191,M,1
120151,F,26520,-5519,5114,,M,3
120152,M,26515,7060,16527,,M,1
120153,F,27260,7066,13880,16832,M,2
120154,F,30490,-5643,5114,,M,1
120155,F,29990,8878,16892,,M,1
120156,F,26445,10471,16861,,O,0
120157,M,27860,9548,17136,,S,0
120158,M,36605,1656,10043,16679,S,0
120159,F,30765,1515,9678,,M,1
120160,M,27115,-1940,5387,,M,1
120161,F,30785,10293,17075,,S,0
120162,M,27215,10475,16833,,M,3
120163,M,26735,1603,11323,,M,3
120164,F,27450,-36,8067,,M,2
120165,M,27050,8844,16861,,S,0
120166,M,30660,-5679,5114,17044,S,0
120167,F,25185,-2068,5145,16891,S,0
120168,F,25275,8849,17106,,M,1
120169,M,28135,8767,16922,,M,3
120170,M,28830,5169,11962,17105,S,0
120171,F,26205,8966,17045,,M,3
120172,M,28345,-5753,5114,,M,3
120173,M,26715,-2138,6361,16283,M,3
120174,F,26850,-5835,5114,16739,S,0
120175,M,25745,10457,17075,,S,0
120176,M,26095,9809,17106,,M,1
120177,F,28745,7034,13911,,S,0
120178,M,26165,-1865,5204,,M,3
120179,M,28510,5187,16071,16314,M,1
120180,M,26970,-2014,6909,,S,0
120181,F,27065,10559,17136,17256,S,0
120182,M,25020,9044,17136,17166,M,2
120183,M,26910,3540,17136,17166,M,1
120184,M,25820,-3683,17136,17286,O,2
120185,F,25080,5210,17136,17197,M,2
120186,F,26795,7048,17136,17347,O,1
120187,F,26665,9110,17136,17317,M,1
120188,F,26715,-2132,17136,17166,M,2
120189,M,25180,8950,17136,17256,S,0
120190,M,24100,9105,16376,16556,M,2
120191,F,24015,-349,15706,15886,S,0
120192,M,26185,8894,16588,16770,M,2
120193,M,24515,9106,16680,16860,S,0
120194,M,25985,9032,16468,16648,M,1
120195,F,24990,9125,16983,17166,S,0
120196,F,24025,8796,15706,15886,S,0
120197,F,25580,-1972,15706,15886,M,2
120198,F,28025,10247,17136,,M,1
120259,M,433800,1485,10836,,M,1
120260,F,207885,1797,9071,,M,2
120261,M,243190,3339,10074,,O,1
120262,M,268455,3581,10471,,M,2
120263,M,42605,1501,8674,16070,S,0
120264,F,37510,8788,17136,,S,0
120265,F,51950,-5567,5114,15705,M,3
120266,F,31750,3469,10683,,M,2
120267,F,28585,9649,15737,,M,1
120268,M,76105,5357,13635,,S,0
120269,F,52540,-5574,5114,16191,M,2
120270,M,48435,-2108,5114,,O,0
120271,F,43635,1679,9740,,M,1
120272,M,34390,-5770,5114,,S,0
120273,F,28455,9654,16861,,M,2
120274,F,26840,1469,12388,,O,0
120275,F,32195,-5,9040,,M,2
120276,M,28090,-5494,5114,15856,M,3
120277,F,32645,10455,16192,16587,S,0
120278,M,27685,9847,17014,,M,3
120279,F,32925,3580,13270,,S,0
120280,F,36930,1776,10348,15521,M,1
120656,F,42570,5141,14304,,O,0
120657,F,36110,1467,11262,,S,0
120658,M,42485,-1838,7702,,O,2
120659,M,161290,-3821,5114,,M,3
120660,M,61125,6731,16496,,S,0
120661,F,85495,-1861,8766,15886,M,3
120662,M,27045,10403,17106,,S,0
120663,F,56385,3372,13574,,S,0
120664,M,47605,-2143,5599,,M,3
120665,F,80070,5410,15400,,M,1
120666,M,64555,3460,11657,16191,S,0
120667,M,29980,7111,16833,,S,0
120668,M,47785,-3722,6909,,O,0
120669,M,36370,-5640,5114,,S,0
120670,M,65420,-5759,5114,15705,S,0
120671,M,40080,-2045,8432,,S,0
120672,M,60980,1698,11748,,M,1
120673,F,35935,-5666,5114,,S,0
120677,F,65555,3532,12085,,M,2
120678,F,40035,-4006,6695,15948,S,0
120679,F,46190,6155,15522,,M,3
120680,F,27295,3524,11443,,S,0
120681,M,30950,7163,16162,,M,2
120682,F,26760,3641,13240,,M,1
120683,F,36315,-1876,5114,15764,M,2
120684,F,26960,9826,17106,,S,0
120685,F,25130,8826,17106,,M,3
120686,F,26690,-5717,5114,,M,1
120687,F,26800,7084,16284,16467,O,0
120688,F,25905,-3659,5114,15583,S,0
120689,F,27780,7140,16983,,S,0
120690,F,25185,8782,16406,,S,0
120691,M,49240,-5586,5114,,S,0
120692,M,32485,-1866,8126,,M,2
120693,M,26625,-244,7091,,M,3
120694,F,27365,10455,16892,,O,1
120695,M,28180,1655,10774,17013,S,0
120696,M,26615,-1966,5173,16891,M,2
120697,F,29625,10405,16953,,O,0
120698,M,26160,-2055,6057,16495,O,0
120710,M,54840,5441,13880,,O,1
120711,F,59130,3435,12478,,O,0
120712,F,63640,-3855,5114,,S,0
120713,M,31630,-5791,5114,,M,3
120714,M,62625,5938,14123,,M,3
120715,F,28535,7102,16468,,M,3
120716,M,53015,5318,12266,,M,1
120717,M,30155,-2183,7883,,O,2
120718,M,29190,1650,11078,,S,0
120719,F,87420,3309,13180,,M,1
120720,M,46580,1588,11779,,M,2
120721,F,29870,-5550,5114,,M,3
120722,M,32460,-101,9405,,S,0
120723,F,33950,-3796,5114,,O,0
120724,M,63705,1487,11779,,S,0
120725,M,29970,7236,16223,16436,S,0
120726,F,27380,10409,17045,,M,1
120727,M,34925,1637,9648,,M,1
120728,F,35070,-1854,8036,,M,1
120729,F,31495,10320,15820,16702,M,3
120730,M,30195,1811,10501,,M,3
120731,M,34150,-292,8644,,O,1
120732,M,35870,-3792,5114,,M,1
120733,M,31760,1554,11262,,M,1
120734,M,34270,7055,16861,,S,1
120735,F,61985,-2028,6695,,S,0
120736,F,63985,1792,11596,,S,0
120737,F,63605,-279,10532,,M,2
120738,F,30025,-3831,5114,,S,0
120739,M,36970,9715,16922,,S,0
120740,F,35110,-3726,5114,15948,O,1
120741,F,36365,-5512,5114,,M,2
120742,M,31020,-5810,5114,,S,0
120743,F,34620,3319,13666,,S,0
120744,F,33490,10397,16253,16739,M,2
120745,F,31365,9682,16953,,M,1
120746,M,46090,5396,15431,,M,3
120747,F,43590,5284,12996,,M,2
120748,F,48380,6030,15765,,M,3
120749,M,26545,5376,13423,,S,0
120750,F,32675,-2034,6971,15371,M,2
120751,M,58200,1556,10440,,M,3
120752,M,30590,-2144,5691,15825,S,0
120753,M,47000,6010,12631,,S,0
120754,M,34760,10380,16922,,M,1
120755,F,36440,1697,8613,,M,3
120756,F,52295,5164,13331,,M,3
120757,M,38545,-5767,5114,16252,M,3
120758,M,34040,1756,11962,,S,0
120759,M,36230,1769,8401,,S,0
120760,F,53475,3293,12174,,S,0
120761,F,30960,9858,16983,,O,2
120762,M,30625,7245,16861,,M,2
120763,M,45100,-5545,5114,,O,1
120764,M,40450,5469,15675,,S,0
120765,F,51950,-1841,5114,,S,0
120766,F,53400,5422,15035,,M,1
120767,M,32965,1590,9952,,S,0
120768,M,44955,-1989,7944,16039,M,3
120769,M,47990,5257,13240,,S,0
120770,F,43930,1575,9952,15825,S,0
120771,F,36435,-1976,6179,,S,0
120772,M,27365,10325,17014,,S,0
120773,F,27370,-313,7761,,M,2
120774,F,45155,6834,15400,16740,M,3
120775,F,41580,3329,13454,,M,3
120776,M,32580,7203,15066,,S,0
120777,M,40955,3372,12539,,S,0
120778,F,43650,-1850,8797,,S,0
120779,F,43690,6121,13574,,S,0
120780,F,62995,3531,11596,,M,3
120781,F,32620,10249,16406,16801,M,3
120782,F,63915,5446,14396,,S,0
120783,M,42975,5467,13149,,S,0
120784,F,35715,7053,16315,,O,1
120785,F,48335,3308,12205,,O,2
120786,F,32650,-5767,5114,,S,0
120787,M,34000,3521,13149,,M,1
120788,M,33530,3451,12753,,O,1
120789,M,39330,1656,8370,15856,M,2
120790,F,53740,5454,12904,,S,0
120791,M,61115,1668,9770,,M,2
120792,F,54760,5922,13727,,M,2
120793,M,47155,3507,13301,,S,0
120794,F,51265,6939,15887,,S,0
120795,M,49105,3303,10440,15736,S,0
120796,M,47030,-2060,8460,,M,2
120797,F,43385,-1871,6544,,M,3
120798,F,80755,-192,9862,,O,1
120799,M,29070,7021,14184,,M,3
120800,M,80210,5467,13666,15736,S,0
120801,F,40040,5178,14426,,M,2
120802,F,65125,-3887,6575,16252,S,0
120803,M,43630,-2035,6575,,S,0
120804,M,55400,-5803,5114,,S,0
120805,M,58530,6752,14701,,M,3
120806,F,47285,5169,11719,,M,2
120807,F,43325,-18,8036,16314,S,0
120808,M,44425,1613,8918,,S,0
120809,F,47155,-5831,5114,,S,0
120810,M,58375,-1915,7365,,S,0
120811,M,43985,3556,12235,,S,0
120812,M,45810,5163,15188,,O,1
120813,M,50865,3544,12054,16070,S,0
120814,M,59140,-212,7183,,M,1
120815,M,31590,10588,16892,,M,2
120816,F,30485,3410,12266,,S,0
120992,F,26940,6987,14823,,S,0
120993,F,26260,3639,13574,,M,2
120994,F,31645,5280,12723,,S,0
120995,F,34850,8930,17014,,M,1
120996,M,32745,5315,15584,,M,3
120997,F,27420,5438,13393,,S,0
120998,F,26330,7279,16527,,M,1
120999,F,27215,-4,8857,,S,0
121000,M,48600,1485,12388,,M,2
121001,M,43615,-345,6453,,S,0
121002,F,26650,-1931,7274,16314,M,3
121003,M,26000,10352,16983,,S,0
121004,M,30895,-5629,5114,,S,0
121005,M,25020,8962,16102,,O,2
121006,M,26145,9781,16376,16740,M,2
121007,M,27290,1746,9893,,M,3
121008,M,27875,3471,12266,,M,1
121009,M,32955,7277,14457,,S,0
121010,M,25195,8992,16861,,S,0
121011,M,25735,-5774,5114,,S,0
121012,M,29575,9522,15949,16405,S,0
121013,M,26675,7057,14701,,S,0
121014,F,28510,5234,14457,,M,3
121015,M,26140,7286,14854,,S,0
121016,F,48075,5862,16315,,S,0
121017,M,29225,8771,16496,,S,0
121018,F,27560,-5842,5114,15825,M,2
121019,M,31320,9672,16223,16648,M,3
121020,F,31750,8819,15461,,M,1
121021,F,32985,5457,12478,,S,0
121022,M,32210,7240,15372,16314,S,0
121023,M,26010,1533,10713,16679,M,3
121024,M,26600,9030,16192,,M,2
121025,M,28295,-3735,5722,,S,0
121026,M,31515,9808,16892,,M,1
121027,M,26165,1586,10927,,M,3
121028,M,26585,10344,17106,,S,0
121029,M,27225,1817,10927,,M,2
121030,M,26745,7255,15007,,S,0
121031,M,28060,1651,9344,,M,3
121032,M,31335,10281,16861,,M,1
121033,F,29775,9806,16223,,M,3
121034,M,27110,10462,17167,,S,0
121035,M,26460,-5760,5114,,M,3
121036,F,25965,10426,15979,16740,O,1
121037,M,28310,5276,15400,,M,2
121038,M,25285,10270,17014,17198,S,0
121039,M,27460,-2038,7426,,M,2
121040,F,29525,-179,8340,,M,2
121041,F,26120,-5810,5114,,S,0
121042,M,28845,7033,14549,,M,2
121043,F,28225,3600,11748,,M,2
121044,M,25660,-1847,5691,,S,0
121045,F,28560,1625,12419,16130,M,2
121046,M,25845,9016,16983,17167,M,1
121047,F,25820,7269,17045,17226,M,2
121048,F,26560,8941,17045,17226,M,3
121049,F,26930,9541,17136,,M,3
121050,F,26080,9508,17136,,M,3
121051,F,26025,-3896,6879,,M,2
121052,M,26900,9505,17106,,S,0
121053,F,29955,-5578,5145,,M,2
121054,M,29805,-1876,6149,,S,0
121055,M,30185,10234,17014,,M,1
121056,F,28325,8952,15826,,O,1
121057,M,25125,-6,7640,,M,1
121058,M,26270,5306,15614,,M,2
121059,F,27425,-68,7761,16070,S,0
121060,F,28800,-5685,5114,,M,2
121061,M,29815,-1995,8948,,S,0
121062,F,30305,9067,17014,,M,3
121063,M,35990,7147,16649,,S,0
121064,M,25110,1488,11566,,M,1
121065,F,28040,9014,16892,,M,2
121066,F,27250,-5609,5114,16740,O,1
121067,F,31865,9514,16861,17045,S,0
121068,M,27550,3623,11932,,O,1
121069,M,26195,3365,11231,,M,1
121070,F,29385,9074,16833,,O,1
121071,M,28625,-113,6453,,M,2
121072,M,26105,6949,16315,16740,M,1
121073,M,27100,-3883,5114,,M,1
121074,M,26990,-306,10501,,S,0
121075,F,28395,-5487,5114,,M,3
121076,M,26685,1743,8401,16222,M,2
121077,M,28585,9014,17075,,S,0
121078,M,27485,-3897,6879,,M,1
121079,M,25770,5267,13819,,M,1
121080,M,32235,-342,10105,,S,0
121081,F,30235,-3931,5935,,M,2
121082,M,28510,-3832,6483,,M,3
121083,F,27245,-296,6999,,S,0
121084,M,22710,1689,11323,,M,3
121085,M,32235,9812,17167,,S,0
121086,M,26820,-5494,5114,,M,3
121087,F,28325,5454,14304,16891,M,3
121088,M,27240,10388,17167,,S,0
121089,M,28095,-1959,5295,17105,M,1
121090,F,26600,-2022,7336,,M,3
121091,M,27325,3337,10593,,M,2
121092,F,25680,5180,15553,,S,0
121093,M,27410,1660,12419,15886,M,2
121094,M,26555,-2185,6818,,S,0
121095,F,28010,3391,11504,,S,0
121096,M,26335,3425,12904,,S,0
121097,F,26830,5409,13057,,M,3
121098,M,27475,10308,16922,,S,0
121099,M,32725,7017,14731,,M,3
121100,M,28135,-3901,5935,,S,0
121101,F,25390,9736,17106,,O,1
121102,F,27115,7116,16953,,M,2
121103,M,27260,10345,17045,,S,0
121104,F,28315,1777,9587,15371,S,0
121105,F,29545,7068,15706,,S,0
121106,M,25880,3320,13180,,M,3
121107,F,31380,9610,16983,,M,1
121108,F,25930,10412,17106,17287,S,0
121109,M,26035,3596,11078,,M,1
121110,M,26370,-5740,17136,17166,M,1
121111,M,26885,-5646,17136,17286,S,0
121112,M,26855,9843,17136,17166,S,0
121113,F,27480,-2140,17136,17197,O,1
121114,F,26515,-5536,17136,17347,M,3
121115,M,26430,-322,17136,17286,S,0
121116,F,26670,1727,17136,17256,M,3
121117,F,26640,5190,17136,17166,S,0
121118,M,25725,6999,17136,17317,S,0
121119,M,25205,1768,17136,17225,M,3
121120,F,25020,5411,17136,17225,S,0
121121,F,25735,9560,17136,17317,S,0
121122,M,26265,9556,17136,17256,S,0
121123,M,26410,-5727,17136,17256,M,3
121124,M,26925,3333,17136,17166,S,0
121125,M,25315,5220,15706,15886,S,0
121126,M,26015,-1893,15706,15886,M,1
121127,F,25435,9742,16588,16770,M,2
121128,F,25405,5290,15706,15886,M,3
121129,M,30945,1582,15706,15886,S,0
121130,M,25255,8786,16102,16283,S,0
121131,M,25445,3468,15706,15886,M,2
121132,M,24390,-2153,15706,15886,M,1
121133,M,25405,7253,15706,15886,M,1
121134,M,25585,1644,15706,15886,S,0
121135,F,27010,-2034,5326,,S,0
121136,F,27460,5309,15675,16344,S,0
121137,M,27055,10244,16892,,O,0
121138,M,27265,-3959,5114,,M,1
121139,F,27700,-135,10043,,M,2
121140,M,26335,6962,15066,16832,S,0
121141,M,194885,-5674,5114,,S,0
121142,M,156065,3332,12174,,M,2
121143,M,95090,3617,13696,,M,3
121144,F,83505,1640,11627,,M,3
121145,M,84260,-3692,5935,,M,2
121146,F,29320,9839,16892,,M,1
121147,F,29145,3435,10105,,M,2
121148,M,52930,3288,13880,15736,M,1
