phase,year,plot,plot_num,plot_dir,rotation,corn,crop,variety,all_corn,yield_bush,yield_ton,treated,treatment,manure,lime,nit,p205,k20,stover,population,plant_date,plant_day,soil_sample,damage,notes
5,2020,,3,NW,1,true,CC,NA,false,113,NA,false,none,NA,NA,NA,NA,NA,NA,34364,NA,NA,false,Had to replanted due to field getting flooded on June 3rd,"Population, plants/ac numbers based on stand counts from hand harvesting"
5,2020,,3,NW,1,true,CC,NA,false,207,NA,true,LNPK,NA,NA,200,43.54,40.97577296,NA,32670,NA,NA,false,Had to replanted due to field getting flooded on June 3rd,"Population, plants/ac numbers based on stand counts from hand harvesting"
5,2020,,3,NE,1,true,CC,NA,false,84,NA,false,none,NA,NA,NA,NA,NA,NA,32359,NA,NA,false,Had to replanted due to field getting flooded on June 3rd,"Population, plants/ac numbers based on stand counts from hand harvesting"
5,2020,,3,NE,1,true,CC,NA,false,84,NA,false,none,NA,NA,NA,NA,NA,NA,33686,NA,NA,false,Had to replanted due to field getting flooded on June 3rd,"Population, plants/ac numbers based on stand counts from hand harvesting"
5,2020,,3,SW,1,true,CC,NA,false,118,NA,true,LNPK,NA,NA,200,43.54,40.975773,NA,32732,NA,NA,false,Had to replanted due to field getting flooded on June 3rd,"Population, plants/ac numbers based on stand counts from hand harvesting"
5,2020,,3,SW,1,true,CC,NA,false,168,NA,true,LNPK,NA,NA,200,43.54,40.975773,NA,37171,NA,NA,false,Had to replanted due to field getting flooded on June 3rd,"Population, plants/ac numbers based on stand counts from hand harvesting"
5,2020,,3,SE,1,true,CC,NA,false,81,NA,true,MLP,NA,NA,NA,NA,NA,NA,36663,NA,NA,false,Had to replanted due to field getting flooded on June 3rd,"Population, plants/ac numbers based on stand counts from hand harvesting"
5,2020,,3,SE,1,true,CC,NA,false,62,NA,true,MLP,NA,NA,NA,NA,NA,NA,32525,NA,NA,false,Had to replanted due to field getting flooded on June 3rd,"Population, plants/ac numbers based on stand counts from hand harvesting"
5,2020,,4,NW,2,false,S,NA,false,51,NA,false,none,NA,NA,NA,NA,NA,NA,175000,NA,NA,false,NA,NA
5,2020,,4,NW,2,false,S,NA,false,59,NA,true,LNPK,NA,NA,200,56.76,53.4166786,NA,175000,NA,NA,false,NA,NA
5,2020,,4,NE,2,false,S,NA,false,35,NA,false,none,NA,NA,NA,NA,NA,NA,175000,NA,NA,false,NA,NA
5,2020,,4,NE,2,false,S,NA,false,40,NA,false,none,NA,NA,NA,NA,NA,NA,175000,NA,NA,false,NA,NA
5,2020,,4,SW,2,false,S,NA,false,49,NA,true,LNPK,NA,NA,200,52.96,49.8458308,NA,175000,NA,NA,false,NA,NA
5,2020,,4,SW,2,false,S,NA,false,64,NA,true,LNPK,NA,NA,200,54.27,51.0749579,NA,175000,NA,NA,false,NA,NA
5,2020,,4,SE,2,false,S,NA,false,53,NA,true,MLP,NA,NA,NA,NA,NA,NA,175000,NA,NA,false,NA,NA
5,2020,,4,SE,2,false,S,NA,false,56,NA,true,MLP,NA,NA,NA,NA,NA,NA,175000,NA,NA,false,NA,NA
5,2020,,5,NW,3,false,A,NA,false,0,NA,false,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,NA,"No alfalfa harvested, mowed as green manure"
5,2020,,5,NW,3,false,A,NA,false,0,NA,true,LNPK,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,NA,"No alfalfa harvested, mowed as green manure"
5,2020,,5,NE,3,false,A,NA,false,0,NA,false,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,NA,"No alfalfa harvested, mowed as green manure"
5,2020,,5,NE,3,false,A,NA,false,0,NA,false,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,NA,"No alfalfa harvested, mowed as green manure"
5,2020,,5,SW,3,false,A,NA,false,0,NA,true,LNPK,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,NA,"No alfalfa harvested, mowed as green manure"
5,2020,,5,SW,3,false,A,NA,false,0,NA,true,LNPK,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,NA,"No alfalfa harvested, mowed as green manure"
5,2020,,5,SE,3,false,A,NA,false,0,NA,true,MLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,NA,"No alfalfa harvested, mowed as green manure"
5,2020,,5,SE,3,false,A,NA,false,0,NA,true,MLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,NA,"No alfalfa harvested, mowed as green manure"
5,2021,,3,NW,1,true,CC,NA,false,0,NA,false,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,true,"No data, critter and bird damaged plots",NA
5,2021,,3,NW,1,true,CC,NA,false,0,NA,true,LNPK,NA,NA,200,60.088,60.088,NA,NA,NA,NA,true,"No data, critter and bird damaged plots",Target rate of 200#N/A from manure; Target lbs/plot was 473.94 lbs/A due to half of N being available during first year
5,2021,,3,NE,1,true,CC,NA,false,20,NA,false,none,NA,NA,NA,NA,NA,NA,34074,NA,NA,true,NA,"Population, plants/ac numbers based on stand counts from hand harvesting"
5,2021,,3,NE,1,true,CC,NA,false,23,NA,false,none,NA,NA,NA,NA,NA,NA,31363,NA,NA,true,NA,"Population, plants/ac numbers based on stand counts from hand harvesting"
5,2021,,3,SW,1,true,CC,NA,false,209,NA,true,LNPK,NA,NA,200,51.408,51.408,NA,23522,NA,NA,true,NA,"(Urea for N+14:14:14) based on grain removal of previous crop and used limiting P or K value; Population, plants/ac numbers based on stand counts from hand harvesting"
5,2021,,3,SW,1,true,CC,NA,false,327,NA,true,LNPK,NA,NA,200,59.192,59.192,NA,31944,NA,NA,true,NA,"(Urea for N+14:14:14) based on grain removal of previous crop and used limiting P or K value; Population, plants/ac numbers based on stand counts from hand harvesting"
5,2021,,3,SE,1,true,CC,NA,false,247,NA,true,MLP,410,NA,NA,NA,NA,NA,32912,NA,NA,true,NA,"Target rate of 200#N/A from manure; Target lbs/plot was 473.94 lbs/A due to half of N being available during first year.; Population, plants/ac numbers based on stand counts from hand harvesting"
5,2021,,3,SE,1,true,CC,NA,false,245,NA,true,MLP,410,NA,NA,NA,NA,NA,35235,NA,NA,true,NA,"Target rate of 200#N/A from manure; Target lbs/plot was 473.94 lbs/A due to half of N being available during first year.; Population, plants/ac numbers based on stand counts from hand harvesting"
5,2021,,4,NW,2,true,C,NA,false,119,NA,false,none,NA,NA,NA,NA,NA,NA,35719,NA,NA,true,NA,"Population, plants/ac numbers based on stand counts from hand harvesting"
5,2021,,4,NW,2,true,C,NA,false,260,NA,true,LNPK,NA,NA,200,69.328,69.328,NA,30202,NA,NA,true,NA,"(Urea for N+14:14:14) based on grain removal of previous crop and used limiting P or K value; Population, plants/ac numbers based on stand counts from hand harvesting"
5,2021,,4,NE,2,true,C,NA,false,84,NA,false,none,NA,NA,NA,NA,NA,NA,32234,NA,NA,true,NA,"Population, plants/ac numbers based on stand counts from hand harvesting"
5,2021,,4,NE,2,true,C,NA,false,86,NA,false,none,NA,NA,NA,NA,NA,NA,33977,NA,NA,true,NA,"Population, plants/ac numbers based on stand counts from hand harvesting"
5,2021,,4,SW,2,true,C,NA,false,311,NA,true,LNPK,NA,NA,200,57.512,57.512,NA,34848,NA,NA,true,NA,"(Urea for N+14:14:14) based on grain removal of previous crop and used limiting P or K value; Population, plants/ac numbers based on stand counts from hand harvesting"
5,2021,,4,SW,2,true,C,NA,false,289,NA,true,LNPK,NA,NA,200,75.208,75.208,NA,33686,NA,NA,true,NA,"(Urea for N+14:14:14) based on grain removal of previous crop and used limiting P or K value; Population, plants/ac numbers based on stand counts from hand harvesting"
5,2021,,4,SE,2,true,C,NA,false,285,NA,true,MLP,500,NA,NA,NA,NA,NA,36300,NA,NA,true,NA,"Target rate of 200#N/A from manure; Target lbs/plot was 473.94 lbs/A due to half of N being available during first year.; Population, plants/ac numbers based on stand counts from hand harvesting"
5,2021,,4,SE,2,true,C,NA,false,260,NA,true,MLP,500,NA,NA,NA,NA,NA,33977,NA,NA,true,NA,"Target rate of 200#N/A from manure; Target lbs/plot was 473.94 lbs/A due to half of N being available during first year.; Population, plants/ac numbers based on stand counts from hand harvesting"
5,2021,,5,NW,3,true,C,NA,false,130,NA,false,none,NA,NA,NA,NA,NA,NA,33106,NA,NA,true,NA,"Population, plants/ac numbers based on stand counts from hand harvesting"
5,2021,,5,NW,3,true,C,NA,false,295,NA,true,LNPK,NA,NA,200,NA,NA,NA,33686,NA,NA,true,NA,"Population, plants/ac numbers based on stand counts from hand harvesting"
5,2021,,5,NE,3,true,C,NA,false,114,NA,false,none,NA,NA,NA,NA,NA,NA,32815,NA,NA,true,NA,"Population, plants/ac numbers based on stand counts from hand harvesting"
5,2021,,5,NE,3,true,C,NA,false,126,NA,false,none,NA,NA,NA,NA,NA,NA,35719,NA,NA,true,NA,"Population, plants/ac numbers based on stand counts from hand harvesting"
5,2021,,5,SW,3,true,C,NA,false,290,NA,true,LNPK,NA,NA,200,NA,NA,NA,33106,NA,NA,true,NA,"Population, plants/ac numbers based on stand counts from hand harvesting"
5,2021,,5,SW,3,true,C,NA,false,279,NA,true,LNPK,NA,NA,200,NA,NA,NA,32525,NA,NA,true,NA,"Population, plants/ac numbers based on stand counts from hand harvesting"
5,2021,,5,SE,3,true,C,NA,false,296,NA,true,MLP,570,NA,NA,NA,NA,NA,35429,NA,NA,true,NA,"Target rate of 200#N/A from manure; Target lbs/plot was 473.94 lbs/A due to half of N being available during first year.; Population, plants/ac numbers based on stand counts from hand harvesting"
5,2021,,5,SE,3,true,C,NA,false,285,NA,true,MLP,570,NA,NA,NA,NA,NA,32525,NA,NA,true,NA,"Target rate of 200#N/A from manure; Target lbs/plot was 473.94 lbs/A due to half of N being available during first year.; Population, plants/ac numbers based on stand counts from hand harvesting"
